


                         Node(***)                      Node(***)                      Node(***)                      Node(***)                      Node(

     time         hNew     theta     conc        hNew     theta     conc        hNew     theta     conc        hNew     theta     conc    
       .571      -.216    .3495   .365E+00      1.820    .4500  -.389E-33      5.734    .4500   .000E+00       .000    .4500   .124E-39
       .575      -.207    .3553   .372E+00      1.819    .4500  -.458E-33      5.733    .4500   .000E+00       .000    .4500   .137E-39
       .578      -.197    .3610   .378E+00      1.817    .4500  -.538E-33      5.732    .4500   .000E+00       .000    .4500   .150E-39
       .582      -.188    .3667   .384E+00      1.816    .4500  -.629E-33      5.731    .4500   .000E+00       .000    .4500   .166E-39
       .586      -.179    .3727   .391E+00      1.814    .4500  -.742E-33      5.730    .4500   .000E+00       .000    .4500   .184E-39
       .590      -.169    .3786   .398E+00      1.813    .4500  -.873E-33      5.729    .4500   .000E+00       .000    .4500   .205E-39
       .594      -.160    .3844   .406E+00      1.811    .4500  -.102E-32      5.728    .4500   .000E+00       .000    .4500   .228E-39
       .598      -.151    .3900   .413E+00      1.810    .4500  -.119E-32      5.728    .4500   .000E+00       .000    .4500   .253E-39
       .602      -.142    .3955   .420E+00      1.808    .4500  -.138E-32      5.727    .4500   .000E+00       .000    .4500   .282E-39
       .606      -.134    .4008   .427E+00      1.807    .4500  -.160E-32      5.726    .4500   .000E+00       .000    .4500   .313E-39
       .610      -.125    .4059   .435E+00      1.805    .4500  -.184E-32      5.725    .4500   .000E+00       .000    .4500   .349E-39
       .614      -.117    .4109   .442E+00      1.804    .4500  -.212E-32      5.724    .4500   .000E+00       .000    .4500   .388E-39
       .618      -.108    .4157   .450E+00      1.802    .4500  -.242E-32      5.723    .4500   .000E+00       .000    .4500   .432E-39
       .622      -.099    .4203   .458E+00      1.801    .4500  -.277E-32      5.722    .4500   .000E+00       .000    .4500   .480E-39
       .626      -.091    .4248   .466E+00      1.799    .4500  -.315E-32      5.721    .4500   .000E+00       .000    .4500   .534E-39
       .630      -.082    .4290   .474E+00      1.798    .4500  -.357E-32      5.720    .4500   .000E+00       .000    .4500   .595E-39
       .634      -.073    .4330   .482E+00      1.796    .4500  -.404E-32      5.720    .4500   .000E+00       .000    .4500   .662E-39
       .638      -.064    .4368   .491E+00      1.795    .4500  -.456E-32      5.719    .4500   .000E+00       .000    .4500   .737E-39
       .642      -.053    .4408   .500E+00      1.793    .4500  -.513E-32      5.718    .4500   .000E+00       .000    .4500   .820E-39
       .646       .061    .4500   .509E+00      1.792    .4500  -.575E-32      5.717    .4500   .000E+00       .000    .4500   .912E-39
       .650       .233    .4500   .520E+00      1.790    .4500  -.643E-32      5.716    .4500   .000E+00       .000    .4500   .101E-38
       .654       .287    .4500   .529E+00      1.789    .4500  -.716E-32      5.715    .4500   .000E+00       .000    .4500   .113E-38
       .658       .365    .4500   .538E+00      1.788    .4500  -.796E-32      5.714    .4500   .000E+00       .000    .4500   .125E-38
       .662       .375    .4500   .546E+00      1.786    .4500  -.882E-32      5.713    .4500   .000E+00       .000    .4500   .139E-38
       .666       .381    .4500   .555E+00      1.785    .4500  -.974E-32      5.713    .4500   .000E+00       .000    .4500   .155E-38
       .670       .396    .4500   .563E+00      1.783    .4500  -.107E-31      5.712    .4500   .000E+00       .000    .4500   .172E-38
       .674       .508    .4500   .571E+00      1.782    .4500  -.118E-31      5.711    .4500   .000E+00       .000    .4500   .191E-38
       .678       .533    .4500   .578E+00      1.780    .4500  -.129E-31      5.710    .4500   .000E+00       .000    .4500   .211E-38
       .682       .547    .4500   .587E+00      1.779    .4500  -.142E-31      5.709    .4500   .000E+00       .000    .4500   .237E-38
       .686       .557    .4500   .595E+00      1.777    .4500  -.155E-31      5.708    .4500   .000E+00       .000    .4500   .265E-38
       .691       .566    .4500   .602E+00      1.776    .4500  -.169E-31      5.707    .4500   .000E+00       .000    .4500   .296E-38
       .695       .572    .4500   .610E+00      1.774    .4500  -.183E-31      5.706    .4500   .000E+00       .000    .4500   .330E-38
       .700       .574    .4500   .617E+00      1.772    .4500  -.198E-31      5.705    .4500   .000E+00       .000    .4500   .368E-38
       .704       .592    .4500   .624E+00      1.771    .4500  -.212E-31      5.704    .4500   .000E+00       .000    .4500   .409E-38
       .708       .593    .4500   .631E+00      1.769    .4500  -.227E-31      5.703    .4500   .000E+00       .000    .4500   .454E-38
       .713       .587    .4500   .637E+00      1.768    .4500  -.240E-31      5.703    .4500   .000E+00       .000    .4500   .503E-38
       .717       .624    .4500   .643E+00      1.766    .4500  -.253E-31      5.702    .4500   .000E+00       .000    .4500   .557E-38
       .722       .639    .4500   .650E+00      1.764    .4500  -.264E-31      5.701    .4500   .000E+00       .000    .4500   .615E-38
       .726       .644    .4500   .656E+00      1.763    .4500  -.273E-31      5.700    .4500   .000E+00       .000    .4500   .677E-38
       .730       .648    .4500   .662E+00      1.761    .4500  -.279E-31      5.699    .4500   .000E+00       .000    .4500   .744E-38
       .735       .650    .4500   .667E+00      1.760    .4500  -.281E-31      5.698    .4500   .000E+00       .000    .4500   .815E-38
       .739       .650    .4500   .673E+00      1.758    .4500  -.279E-31      5.697    .4500   .000E+00       .000    .4500   .890E-38
       .744       .649    .4500   .679E+00      1.757    .4500  -.271E-31      5.696    .4500   .000E+00       .000    .4500   .968E-38
       .748       .649    .4500   .684E+00      1.755    .4500  -.256E-31      5.695    .4500   .000E+00       .000    .4500   .105E-37
       .752       .645    .4500   .689E+00      1.753    .4500  -.234E-31      5.694    .4500   .000E+00       .000    .4500   .113E-37
       .757       .639    .4500   .694E+00      1.752    .4500  -.202E-31      5.693    .4500   .000E+00       .000    .4500   .122E-37
       .761       .631    .4500   .699E+00      1.750    .4500  -.160E-31      5.692    .4500   .000E+00       .000    .4500   .130E-37
